カテゴリ,No,QA項目,確認手順,期待結果,対象プラットフォーム,優先度,備考
Entitlement/機能ゲーティング,35,グループ上限(作成/参加/招待リンク),無料ユーザーが2件目のグループを作成・参加・招待リンクから参加しようとする,いずれの経路でもPro加入を促す画面が表示される（無料枠1件、作成+参加の合算）,共通,中,
Entitlement/機能ゲーティング,36,Pro加入者の上限撤廃,Pro加入者で上記29〜35の操作を行う,全て無制限に利用でき、Pro導線が表示されない,共通,高,
Entitlement/機能ゲーティング,37,広告非表示,Pro加入者でアプリ内の各画面を確認する,バナー広告・インタースティシャル広告が表示されない,共通,高,
Entitlement/機能ゲーティング,38,シーズン跨ぎ成績推移グラフ,無料ユーザーとPro加入者で成績推移グラフを比較する,無料ユーザーは直近シーズンのみ、Pro加入者は複数シーズン分が表示される,共通,中,
Entitlement/機能ゲーティング,39,草機能ヒートマップ全期間表示,無料ユーザーとPro加入者で草機能画面を比較する,無料ユーザーは直近30日、Pro加入者は全期間のヒートマップが表示される,共通,中,
通知バナー,40,トライアル終了間近バナー,トライアル残り3日以内の状態でタブ画面を開く,トライアル終了間近のバナーが表示され、タップでサブスクリプション管理画面に遷移する,iOS,中,
通知バナー,41,トライアル終了間近バナーの非表示,トライアル残り4日以上の状態でタブ画面を開く,バナーが表示されない,iOS,低,
通知バナー,42,支払い問題バナー,billing_issueステータスの状態でタブ画面を開く,支払い問題を知らせるバナーが表示される,共通,中,
Webhook同期・状態整合性,43,更新(RENEWAL)後の有効期限延長,サブスクリプションが自動更新される（Sandboxでは数分単位で再現可能）,expires_atが延長され、ステータスがactiveになる,back,高,
Webhook同期・状態整合性,44,更新後の遅延イベントによる誤失効防止,RENEWALで更新した直後に、古いEXPIRATIONイベントが遅れて届く状況を作る（開発者向け確認）,更新済みのPro状態が誤って失効しない,back,高,issue#450で修正済みの回帰確認項目
Webhook同期・状態整合性,45,同一Webhookイベント同時到達時の安定性,同一イベントがほぼ同時に複数回届く状況を作る（開発者向け確認）,二重処理・500エラーが発生せず、同一レコードとして冪等に処理される,back,高,issue#450で修正済みの回帰確認項目
Webhook同期・状態整合性,46,クロスプラットフォームでの状態同期,iOSで加入した後、front(Web)側の画面でもPro状態を確認する,mobileとfront双方で同じPro状態（プラン種別・期限）が表示される,共通,高,
Webhook同期・状態整合性,47,返金時の即時失効,RevenueCat/Stripeダッシュボードから返金処理を行う,即座にPro機能が失効する（次回更新を待たない）,back,中,
Webhook同期・状態整合性,48,自動更新オフからの復帰,解約申請後、期限前に再度自動更新をオンに戻す,ステータスがcancelledからactiveに復帰する,共通,低,
アカウント削除とPro,49,Pro加入中の削除ブロック,Pro加入中のユーザーがアカウント削除を試みる,「削除できません。Pro加入中のため、先に解約してください」の専用メッセージが表示される,共通,高,issue#450で追加された挙動
アカウント削除とPro,50,削除ブロック時の解約導線,上記メッセージから「解約する」ボタンをタップする,サブスクリプション管理画面へ遷移する,共通,中,
アカウント削除とPro,51,無料ユーザーの通常削除,無料ユーザーまたは解約済みユーザーがアカウント削除を試みる,通常通り削除が完了する,共通,中,
法務ページ導線,52,PaywallModal内の法務リンク,機能ロック時に表示されるPaywallModalの購入画面を開く,画面下部に利用規約・プライバシーポリシー・特定商取引法の3リンクがあり、それぞれ正しい画面に遷移する,共通,中,
法務ページ導線,53,app/pro/index.tsx経由の法務リンク,設定画面等からapp/pro/index.tsxのProプラン画面を開く,PaywallModalと同様の3リンクが表示されているか確認する,共通,中,現状リンクが無い既知の差異。仕様として許容するか確認
法務ページ導線,54,特定商取引法ページの価格表示,特定商取引法に基づく表記ページを開く,"月額¥300・年額¥2,980の正しい価格が表示されている",共通,高,
フィーチャーフラグ(pro_features)OFF時,55,Proプラン画面へのアクセス,pro_featuresフラグをOFFにした状態で/proへアクセスする,ホーム画面へリダイレクトされる,共通,中,
フィーチャーフラグ(pro_features)OFF時,56,サブスクリプション管理画面へのアクセス,フラグOFFの状態で/account/subscriptionへアクセスする,ホーム画面へリダイレクトされる,共通,中,
フィーチャーフラグ(pro_features)OFF時,57,PaywallModalの表示,フラグOFFの状態で機能ロック時にPaywallModalを開こうとする,モーダルは表示されない,共通,中,
フィーチャーフラグ(pro_features)OFF時,58,Pro導線ボタンの残存,フラグOFFの状態で機能ロック画面自体を確認する,Pro訴求ボタンや設定画面のPro項目が残っていないか確認する,共通,低,モーダルは非表示だが呼び出し元のボタン自体は残る既知の懸念点
既知の実装差異・エッジケース,59,加入済みユーザーへのPro訴求表示,Pro加入済みユーザーで設定画面を開く,「Proプランを見る」等の未加入者向け項目が表示されていないか確認する,共通,低,未実装のTODOコメントが残っている既知の懸念点
既知の実装差異・エッジケース,60,pendingステータスの発生有無,通常の購入・解約・更新フローを一通り実施する,ステータスがpendingになるケースが実際に発生するか確認する（想定では発生しない）,back,低,コード上pendingへの遷移経路が見当たらないため開発者向け確認
